"Code";"Name";"total in square km;2021;[km2]";
0610035;"Łęczna - rural area (5)";56;
0610042;"Milejów (2)";117;
0610052;"Puchaczów (2)";92;
0610062;"Spiczyn (2)";83;
0611000;"Powiat łukowski";1394;
0611011;"Łuków (1)";36;
0611021;"Stoczek Łukowski (1)";9;
0611032;"Adamów (2)";99;
0611042;"Krzywda (2)";161;
0611052;"Łuków (2)";307;
0611062;"Serokomla (2)";77;
0611072;"Stanin (2)";161;
0611082;"Stoczek Łukowski (2)";173;
0611092;"Trzebieszów (2)";141;
0611102;"Wojcieszków (2)";109;
0611112;"Wola Mysłowska (2)";121;
0612000;"Powiat opolski";810;
0612012;"Chodel (2)";108;
0612023;"Józefów nad Wisłą (3)";141;
0612024;"Józefów nad Wisłą - urban area (4)";3;
0612025;"Józefów nad Wisłą - rural area (5)";138;
0612032;"Karczmiska (2)";95;
0612042;"Łaziska (2)";109;
0612053;"Opole Lubelskie (3)";194;
0612054;"Opole Lubelskie - urban area (4)";15;
0612055;"Opole Lubelskie - rural area (5)";179;
0612063;"Poniatowa (3)";85;
0612064;"Poniatowa - urban area (4)";15;
0612065;"Poniatowa - rural area (5)";70;
0612072;"Wilków (2)";78;
0613000;"Powiat parczewski";952;
0613012;"Dębowa Kłoda (2)";188;
0613022;"Jabłoń (2)";110;
0613032;"Milanów (2)";117;
0613043;"Parczew (3)";147;
0613044;"Parczew - urban area (4)";8;
0613045;"Parczew - rural area (5)";139;
0613052;"Podedwórze (2)";107;
0613062;"Siemień (2)";111;
0613072;"Sosnowica (2)";172;
0614000;"Powiat puławski";934;
0614011;"Puławy (1)";51;
0614022;"Baranów (2)";85;
0614032;"Janowiec (2)";79;
0614043;"Kazimierz Dolny (3)";72;
0614044;"Kazimierz Dolny - urban area (4)";31;
0614045;"Kazimierz Dolny - rural area (5)";41;
0614052;"Końskowola (2)";90;
0614062;"Kurów (2)";101;
0614072;"Markuszów (2)";40;
0614083;"Nałęczów (3)";63;
0614084;"Nałęczów - urban area (4)";14;
0614085;"Nałęczów - rural area (5)";49;
0614092;"Puławy (2)";161;
0614102;"Wąwolnica (2)";63;
0614112;"Żyrzyn (2)";129;
0615000;"Powiat radzyński";965;
0615011;"Radzyń Podlaski (1)";19;
0615022;"Borki (2)";112;
0615032;"Czemierniki (2)";107;
0615042;"Kąkolewnica (2)";148;
0615052;"Komarówka Podlaska (2)";138;
0615062;"Radzyń Podlaski (2)";155;
0615072;"Ulan-Majorat (2)";108;
0615082;"Wohyń (2)";178;
0616000;"Powiat rycki";615;
0616011;"Dęblin (1)";38;
0616022;"Kłoczew (2)";143;
0616032;"Nowodwór (2)";72;
0616043;"Ryki (3)";162;
0616044;"Ryki - urban area (4)";28;
0616045;"Ryki - rural area (5)";134;
0616052;"Stężyca (2)";116;
0616062;"Ułęż (2)";84;
0617000;"Powiat świdnicki";468;
0617011;"Świdnik (1)";20;
0617022;"Mełgiew (2)";95;
0617033;"Piaski (3)";170;
0617034;"Piaski - urban area (4)";8;
0617035;"Piaski - rural area (5)";162;
0617042;"Rybczewice (2)";99;
0617052;"Trawniki (2)";84;
0618000;"Powiat tomaszowski";1489;
0618011;"Tomaszów Lubelski (1)";13;
0618022;"Bełżec (2)";33;
0618032;"Jarczów (2)";107;
0618042;"Krynice (2)";74;
0618053;"Lubycza Królewska (3)";208;
0618054;"Lubycza Królewska - urban area (4)";4;
0618055;"Lubycza Królewska - rural area (5)";204;
0618063;"Łaszczów (3)";128;
0618064;"Łaszczów - urban area (4)";5;
0618065;"Łaszczów - rural area (5)";123;
0618072;"Rachanie (2)";94;
0618082;"Susiec (2)";191;
0618092;"Tarnawatka (2)";83;
0618102;"Telatyn (2)";112;
0618112;"Tomaszów Lubelski (2)";171;
0618123;"Tyszowce (3)";128;
0618124;"Tyszowce - urban area (4)";19;
0618125;"Tyszowce - rural area (5)";109;
0618132;"Ulhówek (2)";147;
0619000;"Powiat włodawski";1256;
0619011;"Włodawa (1)";18;
0619022;"Hanna (2)";139;
0619032;"Hańsk (2)";176;
0619042;"Stary Brus (2)";132;
0619052;"Urszulin (2)";172;
0619062;"Włodawa (2)";245;
0619072;"Wola Uhruska (2)";154;
0619082;"Wyryki (2)";220;
0620000;"Powiat zamojski";1870;
0620012;"Adamów (2)";111;
0620022;"Grabowiec (2)";128;
0620032;"Komarów-Osada (2)";124;
0620043;"Krasnobród (3)";127;
0620044;"Krasnobród - urban area (4)";7;
0620045;"Krasnobród - rural area (5)";120;
0620052;"Łabunie (2)";87;
0620062;"Miączyn (2)";156;
0620072;"Nielisz (2)";112;
0620082;"Radecznica (2)";110;
0620092;"Sitno (2)";112;
0620102;"Skierbieszów (2)";139;
0620112;"Stary Zamość (2)";98;
0620122;"Sułów (2)";93;
0620133;"Szczebrzeszyn (3)";123;
0620134;"Szczebrzeszyn - urban area (4)";29;
0620135;"Szczebrzeszyn - rural area (5)";94;
0620142;"Zamość (2)";196;
0620153;"Zwierzyniec (3)";154;
0620154;"Zwierzyniec - urban area (4)";6;
0620155;"Zwierzyniec - rural area (5)";148;
0661000;"City with powiat status Biała Podlaska";49;
0661011;"Biała Podlaska (1)";49;
0662000;"City with powiat status Chełm";35;
0662011;"Chełm (1)";35;
0663000;"City with powiat status Lublin";148;
0663011;"Lublin (1)";148;
0664000;"City with powiat status Zamość";30;
0664011;"Zamość (1)";30;
0800000;"LUBUSKIE";13988;
0801000;"Powiat gorzowski";1214;
0801011;"Kostrzyn nad Odrą (1)";46;
0801022;"Bogdaniec (2)";112;
0801032;"Deszczno (2)";168;
0801042;"Kłodawa (2)";235;
0801052;"Lubiszyn (2)";205;
0801062;"Santok (2)";169;
0801073;"Witnica (3)";279;
0801074;"Witnica - urban area (4)";8;
0801075;"Witnica - rural area (5)";271;
0802000;"Powiat krośnieński";1391;
0802011;"Gubin (1)";21;
0802022;"Bobrowice (2)";185;
0802032;"Bytnica (2)";209;
0802042;"Dąbie (2)";171;
0802052;"Gubin (2)";379;
0802063;"Krosno Odrzańskie (3)";212;
0802064;"Krosno Odrzańskie - urban area (4)";8;
0802065;"Krosno Odrzańskie - rural area (5)";204;
0802072;"Maszewo (2)";214;
0803000;"Powiat międzyrzecki";1388;
0803012;"Bledzew (2)";247;
0803023;"Międzyrzecz (3)";315;
0803024;"Międzyrzecz - urban area (4)";10;
0803025;"Międzyrzecz - rural area (5)";305;
0803032;"Przytoczna (2)";185;
0803042;"Pszczew (2)";178;
0803053;"Skwierzyna (3)";285;
0803054;"Skwierzyna - urban area (4)";36;
0803055;"Skwierzyna - rural area (5)";249;
0803063;"Trzciel (3)";178;
0803064;"Trzciel - urban area (4)";3;
0803065;"Trzciel - rural area (5)";175;
0804000;"Powiat nowosolski";771;
0804011;"Nowa Sól (1)";22;
0804023;"Bytom Odrzański (3)";52;
0804024;"Bytom Odrzański - urban area (4)";2;
0804025;"Bytom Odrzański - rural area (5)";50;
0804032;"Kolsko (2)";81;
0804043;"Kożuchów (3)";179;
0804044;"Kożuchów - urban area (4)";6;
0804045;"Kożuchów - rural area (5)";173;
0804052;"Nowa Sól (2)";176;
0804063;"Nowe Miasteczko (3)";77;
0804064;"Nowe Miasteczko - urban area (4)";3;
0804065;"Nowe Miasteczko - rural area (5)";74;
0804073;"Otyń (3)";92;
0804074;"Otyń - urban area (4)";8;
0804075;"Otyń - rural area (5)";84;
0804082;"Siedlisko (2)";92;
0805000;"Powiat słubicki";999;
0805013;"Cybinka (3)";280;
0805014;"Cybinka - urban area (4)";6;
0805015;"Cybinka - rural area (5)";274;
0805022;"Górzyca (2)";144;
0805033;"Ośno Lubuskie (3)";198;
0805034;"Ośno Lubuskie - urban area (4)";8;
0805035;"Ośno Lubuskie - rural area (5)";190;
0805043;"Rzepin (3)";191;
0805044;"Rzepin - urban area (4)";11;
0805045;"Rzepin - rural area (5)";180;
0805053;"Słubice (3)";186;
0805054;"Słubice - urban area (4)";19;
0805055;"Słubice - rural area (5)";167;
0806000;"Powiat strzelecko-drezdenecki";1248;
0806013;"Dobiegniew (3)";351;
0806014;"Dobiegniew - urban area (4)";6;
0806015;"Dobiegniew - rural area (5)";345;
0806023;"Drezdenko (3)";400;
0806024;"Drezdenko - urban area (4)";11;
0806025;"Drezdenko - rural area (5)";389;
0806032;"Stare Kurowo (2)";78;
0806043;"Strzelce Krajeńskie (3)";319;
0806044;"Strzelce Krajeńskie - urban area (4)";6;
0806045;"Strzelce Krajeńskie - rural area (5)";313;
0806052;"Zwierzyn (2)";100;
0807000;"Powiat sulęciński";1178;
0807012;"Krzeszyce (2)";194;
0807023;"Lubniewice (3)";130;
0807024;"Lubniewice - urban area (4)";12;
0807025;"Lubniewice - rural area (5)";118;
0807032;"Słońsk (2)";159;
0807043;"Sulęcin (3)";320;
0807044;"Sulęcin - urban area (4)";9;
0807045;"Sulęcin - rural area (5)";311;
0807053;"Torzym (3)";375;
0807054;"Torzym - urban area (4)";9;
0807055;"Torzym - rural area (5)";366;
0808000;"Powiat świebodziński";937;
0808012;"Lubrza (2)";122;
0808022;"Łagów (2)";200;
0808032;"Skąpe (2)";182;
0808042;"Szczaniec (2)";113;
0808053;"Świebodzin (3)";226;
0808054;"Świebodzin - urban area (4)";17;
0808055;"Świebodzin - rural area (5)";209;
0808063;"Zbąszynek (3)";94;
0808064;"Zbąszynek - urban area (4)";4;
0808065;"Zbąszynek - rural area (5)";90;
0809000;"Powiat zielonogórski";1350;
0809013;"Babimost (3)";93;
0809014;"Babimost - urban area (4)";4;
0809015;"Babimost - rural area (5)";89;
0809022;"Bojadła (2)";102;
0809033;"Czerwieńsk (3)";195;
0809034;"Czerwieńsk - urban area (4)";9;
0809035;"Czerwieńsk - rural area (5)";186;
0809043;"Kargowa (3)";129;
0809044;"Kargowa - urban area (4)";5;
0809045;"Kargowa - rural area (5)";124;
0809053;"Nowogród Bobrzański (3)";260;
0809054;"Nowogród Bobrzański - urban area (4)";15;
0809055;"Nowogród Bobrzański - rural area (5)";245;
0809063;"Sulechów (3)";237;
0809064;"Sulechów - urban area (4)";7;
0809065;"Sulechów - rural area (5)";230;
0809072;"Świdnica (2)";160;
0809082;"Trzebiechów (2)";81;
0809092;"Zabór (2)";93;
0810000;"Powiat żagański";1132;
0810011;"Gozdnica (1)";24;
0810021;"Żagań (1)";40;
0810032;"Brzeźnica (2)";122;
0810043;"Iłowa (3)";153;
0810044;"Iłowa - urban area (4)";10;
0810045;"Iłowa - rural area (5)";143;
0810053;"Małomice (3)";80;
0810054;"Małomice - urban area (4)";7;
0810055;"Małomice - rural area (5)";73;
0810062;"Niegosławice (2)";136;
0810073;"Szprotawa (3)";233;
0810074;"Szprotawa - urban area (4)";11;
0810075;"Szprotawa - rural area (5)";222;
0810082;"Wymiarki (2)";63;
0810092;"Żagań (2)";281;
0811000;"Powiat żarski";1393;
0811011;"Łęknica (1)";16;
0811021;"Żary (1)";33;
0811032;"Brody (2)";241;
0811043;"Jasień (3)";127;
0811044;"Jasień - urban area (4)";5;
0811045;"Jasień - rural area (5)";122;
0811052;"Lipinki Łużyckie (2)";89;
0811063;"Lubsko (3)";183;
0811064;"Lubsko - urban area (4)";13;
0811065;"Lubsko - rural area (5)";170;
0811072;"Przewóz (2)";178;
0811082;"Trzebiel (2)";166;
0811092;"Tuplice (2)";66;
0811102;"Żary (2)";294;
0812000;"Powiat wschowski";624;
0812013;"Sława (3)";327;
0812014;"Sława - urban area (4)";14;
0812015;"Sława - rural area (5)";313;
0812023;"Szlichtyngowa (3)";100;
0812024;"Szlichtyngowa - urban area (4)";2;
0812025;"Szlichtyngowa - rural area (5)";98;
0812033;"Wschowa (3)";197;
0812034;"Wschowa - urban area (4)";9;
0812035;"Wschowa - rural area (5)";188;
0861000;"City with powiat status Gorzów Wielkopolski";86;
0861011;"Gorzów Wielkopolski (1)";86;
0862000;"City with powiat status Zielona Góra";277;
0862011;"Zielona Góra (1)";277;
1000000;"ŁÓDZKIE";18219;
1001000;"Powiat bełchatowski";968;
1001011;"Bełchatów (1)";35;
1001022;"Bełchatów (2)";180;
1001032;"Drużbice (2)";113;
1001042;"Kleszczów (2)";125;
1001052;"Kluki (2)";119;
1001062;"Rusiec (2)";100;
1001072;"Szczerców (2)";129;
1001083;"Zelów (3)";167;
1001084;"Zelów - urban area (4)";11;
1001085;"Zelów - rural area (5)";156;
1002000;"Powiat kutnowski";887;
1002011;"Kutno (1)";34;
1002022;"Bedlno (2)";125;
1002032;"Dąbrowice (2)";46;
1002043;"Krośniewice (3)";95;
1002044;"Krośniewice - urban area (4)";4;
1002045;"Krośniewice - rural area (5)";91;
1002052;"Krzyżanów (2)";103;
1002062;"Kutno (2)";122;
1002072;"Łanięta (2)";55;
1002082;"Nowe Ostrowy (2)";72;
1002092;"Oporów (2)";68;
1002102;"Strzelce (2)";90;
1002113;"Żychlin (3)";77;
1002114;"Żychlin - urban area (4)";9;
1002115;"Żychlin - rural area (5)";68;
1003000;"Powiat łaski";618;
1003012;"Buczek (2)";92;
1003023;"Łask (3)";145;
1003024;"Łask - urban area (4)";15;
1003025;"Łask - rural area (5)";130;
1003032;"Sędziejowice (2)";120;
1003042;"Widawa (2)";179;
1003052;"Wodzierady (2)";82;
1004000;"Powiat łęczycki";773;
1004011;"Łęczyca (1)";9;
1004022;"Daszyna (2)";81;
1004032;"Góra Świętej Małgorzaty (2)";90;
1004042;"Grabów (2)";156;
1004052;"Łęczyca (2)";151;
1004063;"Piątek (3)";133;
1004064;"Piątek - urban area (4)";5;
1004065;"Piątek - rural area (5)";128;
1004072;"Świnice Warckie (2)";93;
1004082;"Witonia (2)";60;
1005000;"Powiat łowicki";988;
1005011;"Łowicz (1)";23;
1005022;"Bielawy (2)";164;
1005032;"Chąśno (2)";72;
1005042;"Domaniewice (2)";86;
1005052;"Kiernozia (2)";76;
1005062;"Kocierzew Południowy (2)";94;
1005072;"Łowicz (2)";133;
1005082;"Łyszkowice (2)";107;
1005092;"Nieborów (2)";104;
1005102;"Zduny (2)";129;
1006000;"Powiat łódzki wschodni";500;
1006022;"Andrespol (2)";25;
1006032;"Brójce (2)";70;
1006073;"Koluszki (3)";155;
1006074;"Koluszki - urban area (4)";11;
1006075;"Koluszki - rural area (5)";144;
1006082;"Nowosolna (2)";54;
1006103;"Rzgów (3)";66;
1006104;"Rzgów - urban area (4)";17;
1006105;"Rzgów - rural area (5)";49;
1006113;"Tuszyn (3)";130;
1006114;"Tuszyn - urban area (4)";23;
1006115;"Tuszyn - rural area (5)";107;
1007000;"Powiat opoczyński";1040;
1007012;"Białaczów (2)";115;
1007023;"Drzewica (3)";118;
1007024;"Drzewica - urban area (4)";5;
1007025;"Drzewica - rural area (5)";113;
1007032;"Mniszków (2)";124;
1007043;"Opoczno (3)";191;
1007044;"Opoczno - urban area (4)";27;
1007045;"Opoczno - rural area (5)";164;
1007052;"Paradyż (2)";81;
1007062;"Poświętne (2)";141;
1007072;"Sławno (2)";129;
1007082;"Żarnów (2)";141;
1008000;"Powiat pabianicki";492;
1008011;"Konstantynów Łódzki (1)";27;
1008021;"Pabianice (1)";33;
1008032;"Dłutów (2)";101;
1008042;"Dobroń (2)";95;
1008052;"Ksawerów (2)";14;
1008062;"Lutomiersk (2)";134;
1008072;"Pabianice (2)";88;
1009000;"Powiat pajęczański";804;
1009013;"Działoszyn (3)";121;
1009014;"Działoszyn - urban area (4)";5;
1009015;"Działoszyn - rural area (5)";116;
1009022;"Kiełczygłów (2)";87;
1009032;"Nowa Brzeźnica (2)";135;
1009043;"Pajęczno (3)";114;
1009044;"Pajęczno - urban area (4)";20;
1009045;"Pajęczno - rural area (5)";94;
1009052;"Rząśnia (2)";86;
1009062;"Siemkowice (2)";100;
1009072;"Strzelce Wielkie (2)";78;
1009082;"Sulmierzyce (2)";83;
1010000;"Powiat piotrkowski";1429;
1010012;"Aleksandrów (2)";144;
1010022;"Czarnocin (2)";72;
1010032;"Gorzkowice (2)";102;
1010042;"Grabica (2)";128;
1010052;"Łęki Szlacheckie (2)";109;
1010062;"Moszczenica (2)";111;
1010072;"Ręczno (2)";89;
1010082;"Rozprza (2)";163;
1010093;"Sulejów (3)";188;
1010094;"Sulejów - urban area (4)";26;
1010095;"Sulejów - rural area (5)";162;
1010102;"Wola Krzysztoporska (2)";171;
1010113;"Wolbórz (3)";152;
1010114;"Wolbórz - urban area (4)";15;
1010115;"Wolbórz - rural area (5)";137;
1011000;"Powiat poddębicki";881;
1011012;"Dalików (2)";115;
1011022;"Pęczniew (2)";128;
1011033;"Poddębice (3)";225;
1011034;"Poddębice - urban area (4)";6;
1011035;"Poddębice - rural area (5)";219;
1011043;"Uniejów (3)";129;
1011044;"Uniejów - urban area (4)";12;
1011045;"Uniejów - rural area (5)";117;
1011052;"Wartkowice (2)";140;
1011062;"Zadzim (2)";144;
1012000;"Powiat radomszczański";1443;
1012011;"Radomsko (1)";51;
1012022;"Dobryszyce (2)";51;
1012032;"Gidle (2)";116;
1012042;"Gomunice (2)";62;
1012053;"Kamieńsk (3)";96;
1012054;"Kamieńsk - urban area (4)";12;
1012055;"Kamieńsk - rural area (5)";84;
1012062;"Kobiele Wielkie (2)";102;
1012072;"Kodrąb (2)";106;
1012082;"Lgota Wielka (2)";63;
1012092;"Ładzice (2)";83;
1012102;"Masłowice (2)";116;
1012113;"Przedbórz (3)";190;
1012114;"Przedbórz - urban area (4)";6;
1012115;"Przedbórz - rural area (5)";184;
1012122;"Radomsko (2)";86;
1012132;"Wielgomłyny (2)";123;
1012142;"Żytno (2)";198;
1013000;"Powiat rawski";646;
1013011;"Rawa Mazowiecka (1)";14;
1013023;"Biała Rawska (3)";208;
1013024;"Biała Rawska - urban area (4)";9;
1013025;"Biała Rawska - rural area (5)";199;
1013032;"Cielądz (2)";93;
1013042;"Rawa Mazowiecka (2)";164;
1013052;"Regnów (2)";46;
1013062;"Sadkowice (2)";121;
1014000;"Powiat sieradzki";1491;
1014011;"Sieradz (1)";51;
1014023;"Błaszki (3)";201;
1014024;"Błaszki - urban area (4)";2;
1014025;"Błaszki - rural area (5)";199;
1014032;"Brąszewice (2)";107;
1014042;"Brzeźnio (2)";129;
1014052;"Burzenin (2)";120;
1014062;"Goszczanów (2)";122;
1014072;"Klonowa (2)";95;
1014082;"Sieradz (2)";182;
1014093;"Warta (3)";254;
1014094;"Warta - urban area (4)";11;
1014095;"Warta - rural area (5)";243;
1014102;"Wróblew (2)";113;
1014113;"Złoczew (3)";117;
1014114;"Złoczew - urban area (4)";14;
1014115;"Złoczew - rural area (5)";103;
1015000;"Powiat skierniewicki";753;
1015012;"Bolimów (2)";112;
1015022;"Głuchów (2)";111;
1015032;"Godzianów (2)";44;
1015042;"Kowiesy (2)";86;
1015052;"Lipce Reymontowskie (2)";43;
1015062;"Maków (2)";81;
1015072;"Nowy Kawęczyn (2)";104;
1015082;"Skierniewice (2)";131;
1015092;"Słupia (2)";41;
1016000;"Powiat tomaszowski";1025;
1016011;"Tomaszów Mazowiecki (1)";42;
1016022;"Będków (2)";57;
1016032;"Budziszewice (2)";30;
1016042;"Czerniewice (2)";128;
1016052;"Inowłódz (2)";98;
1016062;"Lubochnia (2)";131;
1016072;"Rokiciny (2)";91;
1016082;"Rzeczyca (2)";109;
1016092;"Tomaszów Mazowiecki (2)";150;
1016102;"Ujazd (2)";97;
1016112;"Żelechlinek (2)";92;
1017000;"Powiat wieluński";926;
1017012;"Biała (2)";74;
1017022;"Czarnożyły (2)";70;
1017032;"Konopnica (2)";83;
1017042;"Mokrsko (2)";78;
1017052;"Osjaków (2)";101;
1017062;"Ostrówek (2)";101;
1017072;"Pątnów (2)";115;
1017082;"Skomlin (2)";55;
1017093;"Wieluń (3)";131;
1017094;"Wieluń - urban area (4)";17;
1017095;"Wieluń - rural area (5)";114;
1017102;"Wierzchlas (2)";118;
1018000;"Powiat wieruszowski";577;
1018012;"Bolesławiec (2)";64;
1018022;"Czastary (2)";63;
1018032;"Galewice (2)";136;
1018043;"Lututów (3)";76;
1018044;"Lututów - urban area (4)";19;
1018045;"Lututów - rural area (5)";57;
1018052;"Łubnice (2)";61;
1018062;"Sokolniki (2)";80;
1018073;"Wieruszów (3)";97;
1018074;"Wieruszów - urban area (4)";6;
1018075;"Wieruszów - rural area (5)";91;
1019000;"Powiat zduńskowolski";369;
1019011;"Zduńska Wola (1)";25;
1019023;"Szadek (3)";152;
1019024;"Szadek - urban area (4)";17;
1019025;"Szadek - rural area (5)";135;
1019032;"Zapolice (2)";81;
1019042;"Zduńska Wola (2)";111;
1020000;"Powiat zgierski";855;
1020011;"Głowno (1)";20;
1020021;"Ozorków (1)";15;
1020031;"Zgierz (1)";42;
1020043;"Aleksandrów Łódzki (3)";116;
1020044;"Aleksandrów Łódzki - urban area (4)";14;
1020045;"Aleksandrów Łódzki - rural area (5)";102;
1020052;"Głowno (2)";105;
1020062;"Ozorków (2)";96;
1020072;"Parzęczew (2)";104;
1020083;"Stryków (3)";158;
1020084;"Stryków - urban area (4)";8;
1020085;"Stryków - rural area (5)";150;
1020092;"Zgierz (2)";199;
1021000;"Powiat brzeziński";359;
1021011;"Brzeziny (1)";22;
1021022;"Brzeziny (2)";107;
1021032;"Dmosin (2)";100;
1021042;"Jeżów (2)";64;
1021052;"Rogów (2)";66;
1061000;"City with powiat status Łódź";293;
1061011;"Łódź (1)";293;
1062000;"City with powiat status Piotrków Trybunalski";67;
1062011;"Piotrków Trybunalski (1)";67;
1063000;"City with powiat status Skierniewice";35;
1063011;"Skierniewice (1)";35;
1200000;"MAŁOPOLSKIE";15183;
1201000;"Powiat bocheński";649;
1201011;"Bochnia (1)";30;
1201022;"Bochnia (2)";132;
1201032;"Drwinia (2)";108;
1201042;"Lipnica Murowana (2)";60;
1201052;"Łapanów (2)";72;
1201063;"Nowy Wiśnicz (3)";82;
1201064;"Nowy Wiśnicz - urban area (4)";5;
1201065;"Nowy Wiśnicz - rural area (5)";77;
1201072;"Rzezawa (2)";86;
1201082;"Trzciana (2)";44;
1201092;"Żegocina (2)";35;
1202000;"Powiat brzeski";591;
1202012;"Borzęcin (2)";103;
1202023;"Brzesko (3)";103;
1202024;"Brzesko - urban area (4)";12;
1202025;"Brzesko - rural area (5)";91;
1202033;"Czchów (3)";66;
1202034;"Czchów - urban area (4)";14;
1202035;"Czchów - rural area (5)";52;
1202042;"Dębno (2)";82;
1202052;"Gnojnik (2)";55;
1202062;"Iwkowa (2)";47;
1202072;"Szczurowa (2)";135;
1203000;"Powiat chrzanowski";370;
1203013;"Alwernia (3)";74;
1203014;"Alwernia - urban area (4)";9;
1203015;"Alwernia - rural area (5)";65;
1203022;"Babice (2)";55;
1203033;"Chrzanów (3)";79;
1203034;"Chrzanów - urban area (4)";38;
1203035;"Chrzanów - rural area (5)";41;
1203043;"Libiąż (3)";57;
1203044;"Libiąż - urban area (4)";36;
1203045;"Libiąż - rural area (5)";21;
1203053;"Trzebinia (3)";105;
1203054;"Trzebinia - urban area (4)";32;
1203055;"Trzebinia - rural area (5)";73;
1204000;"Powiat dąbrowski";530;
1204012;"Bolesław (2)";36;
1204023;"Dąbrowa Tarnowska (3)";116;
1204024;"Dąbrowa Tarnowska - urban area (4)";23;
1204025;"Dąbrowa Tarnowska - rural area (5)";93;
1204032;"Gręboszów (2)";49;
1204042;"Mędrzechów (2)";44;
1204052;"Olesno (2)";78;
1204062;"Radgoszcz (2)";88;
1204073;"Szczucin (3)";119;
1204074;"Szczucin - urban area (4)";7;
1204075;"Szczucin - rural area (5)";112;
1205000;"Powiat gorlicki";966;
1205011;"Gorlice (1)";24;
1205023;"Biecz (3)";98;
1205024;"Biecz - urban area (4)";17;
1205025;"Biecz - rural area (5)";81;
1205033;"Bobowa (3)";50;
1205034;"Bobowa - urban area (4)";7;
1205035;"Bobowa - rural area (5)";43;
1205042;"Gorlice (2)";103;
1205052;"Lipinki (2)";66;
1205062;"Łużna (2)";56;
1205072;"Moszczenica (2)";38;
1205082;"Ropa (2)";49;
1205092;"Sękowa (2)";195;
1205102;"Uście Gorlickie (2)";287;
1206000;"Powiat krakowski";1231;
1206012;"Czernichów (2)";85;
1206022;"Igołomia-Wawrzeńczyce (2)";63;
1206032;"Iwanowice (2)";71;
1206042;"Jerzmanowice-Przeginia (2)";68;
1206052;"Kocmyrzów-Luborzyca (2)";81;
1206063;"Krzeszowice (3)";139;
1206064;"Krzeszowice - urban area (4)";18;
1206065;"Krzeszowice - rural area (5)";121;
1206072;"Liszki (2)";72;
1206082;"Michałowice (2)";51;
1206092;"Mogilany (2)";44;
1206103;"Skała (3)";75;
1206104;"Skała - urban area (4)";3;
1206105;"Skała - rural area (5)";72;
1206113;"Skawina (3)";100;
1206114;"Skawina - urban area (4)";20;
1206115;"Skawina - rural area (5)";80;
1206123;"Słomniki (3)";113;
1206124;"Słomniki - urban area (4)";3;
1206125;"Słomniki - rural area (5)";110;
1206132;"Sułoszowa (2)";53;
1206143;"Świątniki Górne (3)";20;
1206144;"Świątniki Górne - urban area (4)";4;
1206145;"Świątniki Górne - rural area (5)";16;
1206152;"Wielka Wieś (2)";48;
1206162;"Zabierzów (2)";99;
1206172;"Zielonki (2)";49;
1207000;"Powiat limanowski";951;
1207011;"Limanowa (1)";19;
1207021;"Mszana Dolna (1)";27;
1207032;"Dobra (2)";110;
1207042;"Jodłownik (2)";72;
1207052;"Kamienica (2)";95;
1207062;"Laskowa (2)";72;
1207072;"Limanowa (2)";152;
1207082;"Łukowica (2)";70;
1207092;"Mszana Dolna (2)";170;
1207102;"Niedźwiedź (2)";74;
1207112;"Słopnice (2)";57;
1207122;"Tymbark (2)";33;
1208000;"Powiat miechowski";676;
1208012;"Charsznica (2)";78;
1208022;"Gołcza (2)";90;
1208032;"Kozłów (2)";86;
1208042;"Książ Wielki (2)";138;
1208053;"Miechów (3)";148;
1208054;"Miechów - urban area (4)";15;
1208055;"Miechów - rural area (5)";133;
1208062;"Racławice (2)";59;
1208072;"Słaboszów (2)";77;
1209000;"Powiat myślenicki";673;
1209013;"Dobczyce (3)";66;
1209014;"Dobczyce - urban area (4)";14;
1209015;"Dobczyce - rural area (5)";52;
1209022;"Lubień (2)";75;
1209033;"Myślenice (3)";154;
1209034;"Myślenice - urban area (4)";30;
1209035;"Myślenice - rural area (5)";124;
1209042;"Pcim (2)";89;
1209052;"Raciechowice (2)";61;
1209062;"Siepraw (2)";32;
1209073;"Sułkowice (3)";60;
1209074;"Sułkowice - urban area (4)";16;
1209075;"Sułkowice - rural area (5)";44;
1209082;"Tokarnia (2)";69;
1209092;"Wiśniowa (2)";67;
1210000;"Powiat nowosądecki";1549;
1210011;"Grybów (1)";17;
1210022;"Chełmiec (2)";112;
1210032;"Gródek nad Dunajcem (2)";88;
1210042;"Grybów (2)";154;
1210052;"Kamionka Wielka (2)";65;
1210062;"Korzenna (2)";107;
1210073;"Krynica-Zdrój (3)";145;
1210074;"Krynica-Zdrój - urban area (4)";40;
1210075;"Krynica-Zdrój - rural area (5)";105;
1210082;"Łabowa (2)";119;
1210092;"Łącko (2)";132;
1210102;"Łososina Dolna (2)";85;
1210113;"Muszyna (3)";141;
1210114;"Muszyna - urban area (4)";24;
1210115;"Muszyna - rural area (5)";117;
1210122;"Nawojowa (2)";50;
1210133;"Piwniczna-Zdrój (3)";126;
1210134;"Piwniczna-Zdrój - urban area (4)";38;
1210135;"Piwniczna-Zdrój - rural area (5)";88;
1210142;"Podegrodzie (2)";65;
1210152;"Rytro (2)";42;
1210163;"Stary Sącz (3)";101;
1210164;"Stary Sącz - urban area (4)";15;
1210165;"Stary Sącz - rural area (5)";86;
1211000;"Powiat nowotarski";1474;
1211011;"Nowy Targ (1)";51;
1211023;"Szczawnica (3)";88;
1211024;"Szczawnica - urban area (4)";33;
1211025;"Szczawnica - rural area (5)";55;
