"Code";"Name";"total;dwellings;2021;[-]";
0608104;"Ostrów Lubelski - urban area (4)";774;
0608105;"Ostrów Lubelski - rural area (5)";1156;
0608112;"Ostrówek (2)";1302;
0608122;"Serniki (2)";1517;
0608132;"Uścimów (2)";1346;
0609000;"Powiat lubelski";54100;
0609013;"Bełżyce (3)";4315;
0609014;"Bełżyce - urban area (4)";2261;
0609015;"Bełżyce - rural area (5)";2054;
0609022;"Borzechów (2)";1115;
0609033;"Bychawa (3)";3802;
0609034;"Bychawa - urban area (4)";1674;
0609035;"Bychawa - rural area (5)";2128;
0609042;"Garbów (2)";2801;
0609052;"Głusk (2)";4512;
0609062;"Jabłonna (2)";2819;
0609072;"Jastków (2)";4933;
0609082;"Konopnica (2)";5262;
0609092;"Krzczonów (2)";1765;
0609102;"Niedrzwica Duża (2)";3639;
0609112;"Niemce (2)";6745;
0609122;"Strzyżewice (2)";2677;
0609132;"Wojciechów (2)";2105;
0609142;"Wólka (2)";4857;
0609152;"Wysokie (2)";1686;
0609162;"Zakrzew (2)";1067;
0610000;"Powiat łęczyński";19573;
0610012;"Cyców (2)";2476;
0610022;"Ludwin (2)";1736;
0610033;"Łęczna (3)";8373;
0610034;"Łęczna - urban area (4)";6880;
0610035;"Łęczna - rural area (5)";1493;
0610042;"Milejów (2)";3168;
0610052;"Puchaczów (2)";1875;
0610062;"Spiczyn (2)";1945;
0611000;"Powiat łukowski";34858;
0611011;"Łuków (1)";11191;
0611021;"Stoczek Łukowski (1)";1016;
0611032;"Adamów (2)";1778;
0611042;"Krzywda (2)";3072;
0611052;"Łuków (2)";5440;
0611062;"Serokomla (2)";1345;
0611072;"Stanin (2)";2628;
0611082;"Stoczek Łukowski (2)";2509;
0611092;"Trzebieszów (2)";2184;
0611102;"Wojcieszków (2)";2230;
0611112;"Wola Mysłowska (2)";1465;
0612000;"Powiat opolski";20706;
0612012;"Chodel (2)";2184;
0612023;"Józefów nad Wisłą (3)";2419;
0612024;"Józefów nad Wisłą - urban area (4)";366;
0612025;"Józefów nad Wisłą - rural area (5)";2053;
0612032;"Karczmiska (2)";1934;
0612042;"Łaziska (2)";1732;
0612053;"Opole Lubelskie (3)";5991;
0612054;"Opole Lubelskie - urban area (4)";3141;
0612055;"Opole Lubelskie - rural area (5)";2850;
0612063;"Poniatowa (3)";4949;
0612064;"Poniatowa - urban area (4)";3470;
0612065;"Poniatowa - rural area (5)";1479;
0612072;"Wilków (2)";1497;
0613000;"Powiat parczewski";12885;
0613012;"Dębowa Kłoda (2)";1479;
0613022;"Jabłoń (2)";1253;
0613032;"Milanów (2)";1268;
0613043;"Parczew (3)";5575;
0613044;"Parczew - urban area (4)";4250;
0613045;"Parczew - rural area (5)";1325;
0613052;"Podedwórze (2)";695;
0613062;"Siemień (2)";1584;
0613072;"Sosnowica (2)";1031;
0614000;"Powiat puławski";43937;
0614011;"Puławy (1)";20864;
0614022;"Baranów (2)";1366;
0614032;"Janowiec (2)";1297;
0614043;"Kazimierz Dolny (3)";2712;
0614044;"Kazimierz Dolny - urban area (4)";1581;
0614045;"Kazimierz Dolny - rural area (5)";1131;
0614052;"Końskowola (2)";2858;
0614062;"Kurów (2)";2443;
0614072;"Markuszów (2)";966;
0614083;"Nałęczów (3)";3555;
0614084;"Nałęczów - urban area (4)";1837;
0614085;"Nałęczów - rural area (5)";1718;
0614092;"Puławy (2)";4292;
0614102;"Wąwolnica (2)";1539;
0614112;"Żyrzyn (2)";2045;
0615000;"Powiat radzyński";19807;
0615011;"Radzyń Podlaski (1)";6056;
0615022;"Borki (2)";1719;
0615032;"Czemierniki (2)";1491;
0615042;"Kąkolewnica (2)";2382;
0615052;"Komarówka Podlaska (2)";1517;
0615062;"Radzyń Podlaski (2)";2550;
0615072;"Ulan-Majorat (2)";1702;
0615082;"Wohyń (2)";2390;
0616000;"Powiat rycki";19866;
0616011;"Dęblin (1)";6523;
0616022;"Kłoczew (2)";2023;
0616032;"Nowodwór (2)";1169;
0616043;"Ryki (3)";6984;
0616044;"Ryki - urban area (4)";3719;
0616045;"Ryki - rural area (5)";3265;
0616052;"Stężyca (2)";1969;
0616062;"Ułęż (2)";1198;
0617000;"Powiat świdnicki";27761;
0617011;"Świdnik (1)";16265;
0617022;"Mełgiew (2)";3435;
0617033;"Piaski (3)";3760;
0617034;"Piaski - urban area (4)";982;
0617035;"Piaski - rural area (5)";2778;
0617042;"Rybczewice (2)";1322;
0617052;"Trawniki (2)";2979;
0618000;"Powiat tomaszowski";27926;
0618011;"Tomaszów Lubelski (1)";7043;
0618022;"Bełżec (2)";943;
0618032;"Jarczów (2)";1178;
0618042;"Krynice (2)";1091;
0618053;"Lubycza Królewska (3)";2063;
0618054;"Lubycza Królewska - urban area (4)";725;
0618055;"Lubycza Królewska - rural area (5)";1338;
0618063;"Łaszczów (3)";2045;
0618064;"Łaszczów - urban area (4)";703;
0618065;"Łaszczów - rural area (5)";1342;
0618072;"Rachanie (2)";1757;
0618082;"Susiec (2)";2464;
0618092;"Tarnawatka (2)";1223;
0618102;"Telatyn (2)";1229;
0618112;"Tomaszów Lubelski (2)";3534;
0618123;"Tyszowce (3)";1805;
0618124;"Tyszowce - urban area (4)";628;
0618125;"Tyszowce - rural area (5)";1177;
0618132;"Ulhówek (2)";1551;
0619000;"Powiat włodawski";14229;
0619011;"Włodawa (1)";4972;
0619022;"Hanna (2)";995;
0619032;"Hańsk (2)";1240;
0619042;"Stary Brus (2)";815;
0619052;"Urszulin (2)";1608;
0619062;"Włodawa (2)";2102;
0619072;"Wola Uhruska (2)";1545;
0619082;"Wyryki (2)";952;
0620000;"Powiat zamojski";36178;
0620012;"Adamów (2)";1603;
0620022;"Grabowiec (2)";1415;
0620032;"Komarów-Osada (2)";1649;
0620043;"Krasnobród (3)";2393;
0620044;"Krasnobród - urban area (4)";1012;
0620045;"Krasnobród - rural area (5)";1381;
0620052;"Łabunie (2)";1827;
0620062;"Miączyn (2)";1733;
0620072;"Nielisz (2)";1833;
0620082;"Radecznica (2)";2119;
0620092;"Sitno (2)";1998;
0620102;"Skierbieszów (2)";1774;
0620112;"Stary Zamość (2)";1842;
0620122;"Sułów (2)";1780;
0620133;"Szczebrzeszyn (3)";4026;
0620134;"Szczebrzeszyn - urban area (4)";1883;
0620135;"Szczebrzeszyn - rural area (5)";2143;
0620142;"Zamość (2)";7640;
0620153;"Zwierzyniec (3)";2546;
0620154;"Zwierzyniec - urban area (4)";1242;
0620155;"Zwierzyniec - rural area (5)";1304;
0661000;"City with powiat status Biała Podlaska";24224;
0661011;"Biała Podlaska (1)";24224;
0662000;"City with powiat status Chełm";25860;
0662011;"Chełm (1)";25860;
0663000;"City with powiat status Lublin";163293;
0663011;"Lublin (1)";163293;
0664000;"City with powiat status Zamość";24981;
0664011;"Zamość (1)";24981;
0800000;"LUBUSKIE";394927;
0801000;"Powiat gorzowski";25026;
0801011;"Kostrzyn nad Odrą (1)";7365;
0801022;"Bogdaniec (2)";2139;
0801032;"Deszczno (2)";3309;
0801042;"Kłodawa (2)";3097;
0801052;"Lubiszyn (2)";2189;
0801062;"Santok (2)";2892;
0801073;"Witnica (3)";4035;
0801074;"Witnica - urban area (4)";2241;
0801075;"Witnica - rural area (5)";1794;
0802000;"Powiat krośnieński";20180;
0802011;"Gubin (1)";6525;
0802022;"Bobrowice (2)";1149;
0802032;"Bytnica (2)";926;
0802042;"Dąbie (2)";1552;
0802052;"Gubin (2)";2216;
0802063;"Krosno Odrzańskie (3)";6873;
0802064;"Krosno Odrzańskie - urban area (4)";4773;
0802065;"Krosno Odrzańskie - rural area (5)";2100;
0802072;"Maszewo (2)";939;
0803000;"Powiat międzyrzecki";21348;
0803012;"Bledzew (2)";1377;
0803023;"Międzyrzecz (3)";10000;
0803024;"Międzyrzecz - urban area (4)";7467;
0803025;"Międzyrzecz - rural area (5)";2533;
0803032;"Przytoczna (2)";1830;
0803042;"Pszczew (2)";1409;
0803053;"Skwierzyna (3)";4615;
0803054;"Skwierzyna - urban area (4)";3680;
0803055;"Skwierzyna - rural area (5)";935;
0803063;"Trzciel (3)";2117;
0803064;"Trzciel - urban area (4)";844;
0803065;"Trzciel - rural area (5)";1273;
0804000;"Powiat nowosolski";32488;
0804011;"Nowa Sól (1)";16533;
0804023;"Bytom Odrzański (3)";1849;
0804024;"Bytom Odrzański - urban area (4)";1481;
0804025;"Bytom Odrzański - rural area (5)";368;
0804032;"Kolsko (2)";1090;
0804043;"Kożuchów (3)";5809;
0804044;"Kożuchów - urban area (4)";3697;
0804045;"Kożuchów - rural area (5)";2112;
0804052;"Nowa Sól (2)";2204;
0804063;"Nowe Miasteczko (3)";1776;
0804064;"Nowe Miasteczko - urban area (4)";1019;
0804065;"Nowe Miasteczko - rural area (5)";757;
0804073;"Otyń (3)";2266;
0804074;"Otyń - urban area (4)";616;
0804075;"Otyń - rural area (5)";1650;
0804082;"Siedlisko (2)";961;
0805000;"Powiat słubicki";18050;
0805013;"Cybinka (3)";2131;
0805014;"Cybinka - urban area (4)";974;
0805015;"Cybinka - rural area (5)";1157;
0805022;"Górzyca (2)";1347;
0805033;"Ośno Lubuskie (3)";2310;
0805034;"Ośno Lubuskie - urban area (4)";1493;
0805035;"Ośno Lubuskie - rural area (5)";817;
0805043;"Rzepin (3)";3601;
0805044;"Rzepin - urban area (4)";2555;
0805045;"Rzepin - rural area (5)";1046;
0805053;"Słubice (3)";8661;
0805054;"Słubice - urban area (4)";7392;
0805055;"Słubice - rural area (5)";1269;
0806000;"Powiat strzelecko-drezdenecki";17434;
0806013;"Dobiegniew (3)";2415;
0806014;"Dobiegniew - urban area (4)";1170;
0806015;"Dobiegniew - rural area (5)";1245;
0806023;"Drezdenko (3)";6201;
0806024;"Drezdenko - urban area (4)";3888;
0806025;"Drezdenko - rural area (5)";2313;
0806032;"Stare Kurowo (2)";1197;
0806043;"Strzelce Krajeńskie (3)";6301;
0806044;"Strzelce Krajeńskie - urban area (4)";3968;
0806045;"Strzelce Krajeńskie - rural area (5)";2333;
0806052;"Zwierzyn (2)";1320;
0807000;"Powiat sulęciński";12943;
0807012;"Krzeszyce (2)";1677;
0807023;"Lubniewice (3)";1230;
0807024;"Lubniewice - urban area (4)";878;
0807025;"Lubniewice - rural area (5)";352;
0807032;"Słońsk (2)";1570;
0807043;"Sulęcin (3)";5976;
0807044;"Sulęcin - urban area (4)";4011;
0807045;"Sulęcin - rural area (5)";1965;
0807053;"Torzym (3)";2490;
0807054;"Torzym - urban area (4)";985;
0807055;"Torzym - rural area (5)";1505;
0808000;"Powiat świebodziński";20773;
0808012;"Lubrza (2)";1248;
0808022;"Łagów (2)";1885;
0808032;"Skąpe (2)";1755;
0808042;"Szczaniec (2)";1154;
0808053;"Świebodzin (3)";11840;
0808054;"Świebodzin - urban area (4)";9356;
0808055;"Świebodzin - rural area (5)";2484;
0808063;"Zbąszynek (3)";2891;
0808064;"Zbąszynek - urban area (4)";1911;
0808065;"Zbąszynek - rural area (5)";980;
0809000;"Powiat zielonogórski";26678;
0809013;"Babimost (3)";2126;
0809014;"Babimost - urban area (4)";1457;
0809015;"Babimost - rural area (5)";669;
0809022;"Bojadła (2)";951;
0809033;"Czerwieńsk (3)";3391;
0809034;"Czerwieńsk - urban area (4)";1409;
0809035;"Czerwieńsk - rural area (5)";1982;
0809043;"Kargowa (3)";1951;
0809044;"Kargowa - urban area (4)";1306;
0809045;"Kargowa - rural area (5)";645;
0809053;"Nowogród Bobrzański (3)";3061;
0809054;"Nowogród Bobrzański - urban area (4)";1759;
0809055;"Nowogród Bobrzański - rural area (5)";1302;
0809063;"Sulechów (3)";10369;
0809064;"Sulechów - urban area (4)";6830;
0809065;"Sulechów - rural area (5)";3539;
0809072;"Świdnica (2)";2249;
0809082;"Trzebiechów (2)";970;
0809092;"Zabór (2)";1610;
0810000;"Powiat żagański";30035;
0810011;"Gozdnica (1)";1227;
0810021;"Żagań (1)";10660;
0810032;"Brzeźnica (2)";1078;
0810043;"Iłowa (3)";2577;
0810044;"Iłowa - urban area (4)";1518;
0810045;"Iłowa - rural area (5)";1059;
0810053;"Małomice (3)";1787;
0810054;"Małomice - urban area (4)";1253;
0810055;"Małomice - rural area (5)";534;
0810062;"Niegosławice (2)";1397;
0810073;"Szprotawa (3)";7920;
0810074;"Szprotawa - urban area (4)";4783;
0810075;"Szprotawa - rural area (5)";3137;
0810082;"Wymiarki (2)";860;
0810092;"Żagań (2)";2529;
0811000;"Powiat żarski";35548;
0811011;"Łęknica (1)";934;
0811021;"Żary (1)";15606;
0811032;"Brody (2)";1093;
0811043;"Jasień (3)";2523;
0811044;"Jasień - urban area (4)";1651;
0811045;"Jasień - rural area (5)";872;
0811052;"Lipinki Łużyckie (2)";1066;
0811063;"Lubsko (3)";6739;
0811064;"Lubsko - urban area (4)";5325;
0811065;"Lubsko - rural area (5)";1414;
0811072;"Przewóz (2)";981;
0811082;"Trzebiel (2)";1886;
0811092;"Tuplice (2)";1076;
0811102;"Żary (2)";3644;
0812000;"Powiat wschowski";13241;
0812013;"Sława (3)";4140;
0812014;"Sława - urban area (4)";1506;
0812015;"Sława - rural area (5)";2634;
0812023;"Szlichtyngowa (3)";1568;
0812024;"Szlichtyngowa - urban area (4)";432;
0812025;"Szlichtyngowa - rural area (5)";1136;
0812033;"Wschowa (3)";7533;
0812034;"Wschowa - urban area (4)";5346;
0812035;"Wschowa - rural area (5)";2187;
0861000;"City with powiat status Gorzów Wielkopolski";55995;
0861011;"Gorzów Wielkopolski (1)";55995;
0862000;"City with powiat status Zielona Góra";65188;
0862011;"Zielona Góra (1)";65188;
1000000;"ŁÓDZKIE";1048661;
1001000;"Powiat bełchatowski";41964;
1001011;"Bełchatów (1)";21714;
1001022;"Bełchatów (2)";4344;
1001032;"Drużbice (2)";1940;
1001042;"Kleszczów (2)";1932;
1001052;"Kluki (2)";1622;
1001062;"Rusiec (2)";1746;
1001072;"Szczerców (2)";2912;
1001083;"Zelów (3)";5754;
1001084;"Zelów - urban area (4)";2979;
1001085;"Zelów - rural area (5)";2775;
1002000;"Powiat kutnowski";38789;
1002011;"Kutno (1)";19726;
1002022;"Bedlno (2)";1762;
1002032;"Dąbrowice (2)";612;
1002043;"Krośniewice (3)";3041;
1002044;"Krośniewice - urban area (4)";1715;
1002045;"Krośniewice - rural area (5)";1326;
1002052;"Krzyżanów (2)";1425;
1002062;"Kutno (2)";3060;
1002072;"Łanięta (2)";796;
1002082;"Nowe Ostrowy (2)";1307;
1002092;"Oporów (2)";796;
1002102;"Strzelce (2)";1264;
1002113;"Żychlin (3)";5000;
1002114;"Żychlin - urban area (4)";3658;
1002115;"Żychlin - rural area (5)";1342;
1003000;"Powiat łaski";20004;
1003012;"Buczek (2)";1864;
1003023;"Łask (3)";11585;
1003024;"Łask - urban area (4)";7637;
1003025;"Łask - rural area (5)";3948;
1003032;"Sędziejowice (2)";2327;
1003042;"Widawa (2)";2747;
1003052;"Wodzierady (2)";1481;
1004000;"Powiat łęczycki";16973;
1004011;"Łęczyca (1)";6089;
1004022;"Daszyna (2)";1214;
1004032;"Góra Świętej Małgorzaty (2)";1256;
1004042;"Grabów (2)";1888;
1004052;"Łęczyca (2)";2428;
1004063;"Piątek (3)";1923;
1004064;"Piątek - urban area (4)";687;
1004065;"Piątek - rural area (5)";1236;
1004072;"Świnice Warckie (2)";1213;
1004082;"Witonia (2)";962;
1005000;"Powiat łowicki";27744;
1005011;"Łowicz (1)";11667;
1005022;"Bielawy (2)";1990;
1005032;"Chąśno (2)";841;
1005042;"Domaniewice (2)";1406;
1005052;"Kiernozia (2)";1168;
1005062;"Kocierzew Południowy (2)";1190;
1005072;"Łowicz (2)";2474;
1005082;"Łyszkowice (2)";2091;
1005092;"Nieborów (2)";3086;
1005102;"Zduny (2)";1831;
1006000;"Powiat łódzki wschodni";26490;
1006022;"Andrespol (2)";4866;
1006032;"Brójce (2)";2422;
1006073;"Koluszki (3)";8482;
1006074;"Koluszki - urban area (4)";4762;
1006075;"Koluszki - rural area (5)";3720;
1006082;"Nowosolna (2)";1900;
1006103;"Rzgów (3)";3972;
1006104;"Rzgów - urban area (4)";1323;
1006105;"Rzgów - rural area (5)";2649;
1006113;"Tuszyn (3)";4848;
1006114;"Tuszyn - urban area (4)";2888;
1006115;"Tuszyn - rural area (5)";1960;
1007000;"Powiat opoczyński";26430;
1007012;"Białaczów (2)";2153;
1007023;"Drzewica (3)";3446;
1007024;"Drzewica - urban area (4)";1403;
1007025;"Drzewica - rural area (5)";2043;
1007032;"Mniszków (2)";1723;
1007043;"Opoczno (3)";11893;
1007044;"Opoczno - urban area (4)";8034;
1007045;"Opoczno - rural area (5)";3859;
1007052;"Paradyż (2)";1371;
1007062;"Poświętne (2)";1102;
1007072;"Sławno (2)";2405;
1007082;"Żarnów (2)";2337;
1008000;"Powiat pabianicki";53631;
1008011;"Konstantynów Łódzki (1)";7879;
1008021;"Pabianice (1)";31863;
1008032;"Dłutów (2)";1997;
1008042;"Dobroń (2)";2723;
1008052;"Ksawerów (2)";2733;
1008062;"Lutomiersk (2)";3539;
1008072;"Pabianice (2)";2897;
1009000;"Powiat pajęczański";17259;
1009013;"Działoszyn (3)";4066;
1009014;"Działoszyn - urban area (4)";2120;
1009015;"Działoszyn - rural area (5)";1946;
1009022;"Kiełczygłów (2)";1259;
1009032;"Nowa Brzeźnica (2)";1721;
1009043;"Pajęczno (3)";4000;
1009044;"Pajęczno - urban area (4)";2484;
1009045;"Pajęczno - rural area (5)";1516;
1009052;"Rząśnia (2)";1570;
1009062;"Siemkowice (2)";1481;
1009072;"Strzelce Wielkie (2)";1560;
1009082;"Sulmierzyce (2)";1602;
1010000;"Powiat piotrkowski";31525;
1010012;"Aleksandrów (2)";1883;
1010022;"Czarnocin (2)";1322;
1010032;"Gorzkowice (2)";3072;
1010042;"Grabica (2)";1969;
1010052;"Łęki Szlacheckie (2)";1262;
1010062;"Moszczenica (2)";4337;
1010072;"Ręczno (2)";1210;
1010082;"Rozprza (2)";3918;
1010093;"Sulejów (3)";5791;
1010094;"Sulejów - urban area (4)";2173;
1010095;"Sulejów - rural area (5)";3618;
1010102;"Wola Krzysztoporska (2)";3922;
1010113;"Wolbórz (3)";2839;
1010114;"Wolbórz - urban area (4)";808;
1010115;"Wolbórz - rural area (5)";2031;
1011000;"Powiat poddębicki";16117;
1011012;"Dalików (2)";1532;
1011022;"Pęczniew (2)";1562;
1011033;"Poddębice (3)";6031;
1011034;"Poddębice - urban area (4)";3126;
1011035;"Poddębice - rural area (5)";2905;
1011043;"Uniejów (3)";3110;
1011044;"Uniejów - urban area (4)";1608;
1011045;"Uniejów - rural area (5)";1502;
1011052;"Wartkowice (2)";2029;
1011062;"Zadzim (2)";1853;
1012000;"Powiat radomszczański";44184;
1012011;"Radomsko (1)";19794;
1012022;"Dobryszyce (2)";1553;
1012032;"Gidle (2)";2433;
1012042;"Gomunice (2)";2293;
1012053;"Kamieńsk (3)";2251;
1012054;"Kamieńsk - urban area (4)";1088;
1012055;"Kamieńsk - rural area (5)";1163;
1012062;"Kobiele Wielkie (2)";1434;
1012072;"Kodrąb (2)";1534;
1012082;"Lgota Wielka (2)";1349;
1012092;"Ładzice (2)";1568;
1012102;"Masłowice (2)";1476;
1012113;"Przedbórz (3)";2833;
1012114;"Przedbórz - urban area (4)";1480;
1012115;"Przedbórz - rural area (5)";1353;
1012122;"Radomsko (2)";1872;
1012132;"Wielgomłyny (2)";1635;
1012142;"Żytno (2)";2159;
1013000;"Powiat rawski";16971;
1013011;"Rawa Mazowiecka (1)";6657;
1013023;"Biała Rawska (3)";3869;
1013024;"Biała Rawska - urban area (4)";1209;
1013025;"Biała Rawska - rural area (5)";2660;
1013032;"Cielądz (2)";1325;
1013042;"Rawa Mazowiecka (2)";2822;
1013052;"Regnów (2)";601;
1013062;"Sadkowice (2)";1697;
1014000;"Powiat sieradzki";40550;
1014011;"Sieradz (1)";16727;
1014023;"Błaszki (3)";4498;
1014024;"Błaszki - urban area (4)";861;
1014025;"Błaszki - rural area (5)";3637;
1014032;"Brąszewice (2)";1210;
1014042;"Brzeźnio (2)";1976;
1014052;"Burzenin (2)";1916;
1014062;"Goszczanów (2)";1569;
1014072;"Klonowa (2)";873;
1014082;"Sieradz (2)";3438;
1014093;"Warta (3)";4144;
1014094;"Warta - urban area (4)";1238;
1014095;"Warta - rural area (5)";2906;
1014102;"Wróblew (2)";1905;
1014113;"Złoczew (3)";2294;
1014114;"Złoczew - urban area (4)";1249;
1014115;"Złoczew - rural area (5)";1045;
1015000;"Powiat skierniewicki";12711;
1015012;"Bolimów (2)";1402;
1015022;"Głuchów (2)";1672;
1015032;"Godzianów (2)";745;
1015042;"Kowiesy (2)";1186;
1015052;"Lipce Reymontowskie (2)";1057;
1015062;"Maków (2)";1815;
1015072;"Nowy Kawęczyn (2)";1359;
1015082;"Skierniewice (2)";2704;
1015092;"Słupia (2)";771;
1016000;"Powiat tomaszowski";46459;
1016011;"Tomaszów Mazowiecki (1)";27292;
1016022;"Będków (2)";1057;
1016032;"Budziszewice (2)";771;
1016042;"Czerniewice (2)";1608;
1016052;"Inowłódz (2)";1715;
1016062;"Lubochnia (2)";2453;
1016072;"Rokiciny (2)";2134;
1016082;"Rzeczyca (2)";1470;
1016092;"Tomaszów Mazowiecki (2)";3883;
1016102;"Ujazd (2)";2802;
1016112;"Żelechlinek (2)";1274;
1017000;"Powiat wieluński";26491;
1017012;"Biała (2)";1520;
1017022;"Czarnożyły (2)";1399;
1017032;"Konopnica (2)";1467;
1017042;"Mokrsko (2)";1661;
1017052;"Osjaków (2)";1607;
1017062;"Ostrówek (2)";1455;
1017072;"Pątnów (2)";1863;
1017082;"Skomlin (2)";970;
1017093;"Wieluń (3)";12501;
1017094;"Wieluń - urban area (4)";9603;
1017095;"Wieluń - rural area (5)";2898;
1017102;"Wierzchlas (2)";2048;
1018000;"Powiat wieruszowski";14086;
1018012;"Bolesławiec (2)";1333;
1018022;"Czastary (2)";1267;
1018032;"Galewice (2)";1940;
1018043;"Lututów (3)";1491;
1018044;"Lututów - urban area (4)";774;
1018045;"Lututów - rural area (5)";717;
1018052;"Łubnice (2)";1086;
1018062;"Sokolniki (2)";1652;
1018073;"Wieruszów (3)";5317;
1018074;"Wieruszów - urban area (4)";3556;
1018075;"Wieruszów - rural area (5)";1761;
1019000;"Powiat zduńskowolski";25417;
1019011;"Zduńska Wola (1)";16904;
1019023;"Szadek (3)";2500;
1019024;"Szadek - urban area (4)";770;
1019025;"Szadek - rural area (5)";1730;
1019032;"Zapolice (2)";1830;
1019042;"Zduńska Wola (2)";4183;
1020000;"Powiat zgierski";70135;
1020011;"Głowno (1)";5608;
1020021;"Ozorków (1)";8117;
1020031;"Zgierz (1)";24439;
1020043;"Aleksandrów Łódzki (3)";13900;
1020044;"Aleksandrów Łódzki - urban area (4)";9452;
1020045;"Aleksandrów Łódzki - rural area (5)";4448;
1020052;"Głowno (2)";1505;
1020062;"Ozorków (2)";2552;
1020072;"Parzęczew (2)";2267;
1020083;"Stryków (3)";5062;
1020084;"Stryków - urban area (4)";1485;
1020085;"Stryków - rural area (5)";3577;
1020092;"Zgierz (2)";6685;
1021000;"Powiat brzeziński";11899;
1021011;"Brzeziny (1)";5069;
1021022;"Brzeziny (2)";2139;
1021032;"Dmosin (2)";1706;
1021042;"Jeżów (2)";1275;
1021052;"Rogów (2)";1710;
1061000;"City with powiat status Łódź";370558;
1061011;"Łódź (1)";370558;
1062000;"City with powiat status Piotrków Trybunalski";31850;
1062011;"Piotrków Trybunalski (1)";31850;
1063000;"City with powiat status Skierniewice";20424;
1063011;"Skierniewice (1)";20424;
1200000;"MAŁOPOLSKIE";1299582;
1201000;"Powiat bocheński";33945;
1201011;"Bochnia (1)";11243;
1201022;"Bochnia (2)";6004;
1201032;"Drwinia (2)";1821;
1201042;"Lipnica Murowana (2)";1638;
1201052;"Łapanów (2)";2673;
1201063;"Nowy Wiśnicz (3)";4116;
1201064;"Nowy Wiśnicz - urban area (4)";838;
1201065;"Nowy Wiśnicz - rural area (5)";3278;
1201072;"Rzezawa (2)";3326;
1201082;"Trzciana (2)";1573;
1201092;"Żegocina (2)";1551;
1202000;"Powiat brzeski";28832;
1202012;"Borzęcin (2)";2502;
1202023;"Brzesko (3)";12035;
1202024;"Brzesko - urban area (4)";6128;
1202025;"Brzesko - rural area (5)";5907;
1202033;"Czchów (3)";3002;
1202034;"Czchów - urban area (4)";774;
1202035;"Czchów - rural area (5)";2228;
1202042;"Dębno (2)";4146;
1202052;"Gnojnik (2)";2337;
1202062;"Iwkowa (2)";1802;
1202072;"Szczurowa (2)";3008;
1203000;"Powiat chrzanowski";46557;
1203013;"Alwernia (3)";4235;
1203014;"Alwernia - urban area (4)";1233;
1203015;"Alwernia - rural area (5)";3002;
1203022;"Babice (2)";2819;
1203033;"Chrzanów (3)";18915;
1203034;"Chrzanów - urban area (4)";15634;
1203035;"Chrzanów - rural area (5)";3281;
1203043;"Libiąż (3)";7683;
1203044;"Libiąż - urban area (4)";6057;
1203045;"Libiąż - rural area (5)";1626;
1203053;"Trzebinia (3)";12905;
1203054;"Trzebinia - urban area (4)";7951;
1203055;"Trzebinia - rural area (5)";4954;
1204000;"Powiat dąbrowski";17151;
1204012;"Bolesław (2)";826;
1204023;"Dąbrowa Tarnowska (3)";6322;
1204024;"Dąbrowa Tarnowska - urban area (4)";3834;
1204025;"Dąbrowa Tarnowska - rural area (5)";2488;
1204032;"Gręboszów (2)";1020;
1204042;"Mędrzechów (2)";986;
1204052;"Olesno (2)";2158;
1204062;"Radgoszcz (2)";1989;
1204073;"Szczucin (3)";3850;
1204074;"Szczucin - urban area (4)";1325;
1204075;"Szczucin - rural area (5)";2525;
1205000;"Powiat gorlicki";33251;
1205011;"Gorlice (1)";10025;
1205023;"Biecz (3)";4879;
1205024;"Biecz - urban area (4)";1503;
1205025;"Biecz - rural area (5)";3376;
1205033;"Bobowa (3)";2459;
1205034;"Bobowa - urban area (4)";815;
1205035;"Bobowa - rural area (5)";1644;
1205042;"Gorlice (2)";4831;
1205052;"Lipinki (2)";1978;
1205062;"Łużna (2)";2310;
1205072;"Moszczenica (2)";1370;
1205082;"Ropa (2)";1573;
1205092;"Sękowa (2)";1596;
1205102;"Uście Gorlickie (2)";2230;
1206000;"Powiat krakowski";101428;
1206012;"Czernichów (2)";5320;
1206022;"Igołomia-Wawrzeńczyce (2)";2181;
1206032;"Iwanowice (2)";3353;
1206042;"Jerzmanowice-Przeginia (2)";3565;
1206052;"Kocmyrzów-Luborzyca (2)";5684;
1206063;"Krzeszowice (3)";11777;
1206064;"Krzeszowice - urban area (4)";4337;
1206065;"Krzeszowice - rural area (5)";7440;
1206072;"Liszki (2)";5787;
1206082;"Michałowice (2)";4251;
1206092;"Mogilany (2)";5335;
1206103;"Skała (3)";3754;
1206104;"Skała - urban area (4)";1316;
1206105;"Skała - rural area (5)";2438;
1206113;"Skawina (3)";15711;
1206114;"Skawina - urban area (4)";9798;
1206115;"Skawina - rural area (5)";5913;
1206123;"Słomniki (3)";4836;
1206124;"Słomniki - urban area (4)";1763;
1206125;"Słomniki - rural area (5)";3073;
1206132;"Sułoszowa (2)";1805;
1206143;"Świątniki Górne (3)";3476;
1206144;"Świątniki Górne - urban area (4)";772;
1206145;"Świątniki Górne - rural area (5)";2704;
1206152;"Wielka Wieś (2)";5389;
1206162;"Zabierzów (2)";9673;
1206172;"Zielonki (2)";9531;
1207000;"Powiat limanowski";35589;
1207011;"Limanowa (1)";4837;
1207021;"Mszana Dolna (1)";2394;
1207032;"Dobra (2)";2907;
1207042;"Jodłownik (2)";2357;
1207052;"Kamienica (2)";2159;
1207062;"Laskowa (2)";2063;
1207072;"Limanowa (2)";6802;
